Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,null,null,null,null,null,null
2000-01-01,5.078125,5.242188,4.625000,5.078125,3.500946,19015200
2000-02-01,5.046875,5.046875,4.156250,4.171875,2.888589,26740800
2000-03-01,4.156250,4.312500,3.406250,4.109375,2.845314,38137200
2000-04-01,4.046875,4.156250,3.625000,3.812500,2.639758,18689600
2000-05-01,3.875000,4.609375,3.718750,4.328125,3.012906,21587600
2000-06-01,4.359375,4.921875,4.156250,4.207031,2.928608,17954400
2000-07-01,4.265625,4.421875,3.984375,4.046875,2.817120,14698800
2000-08-01,4.078125,4.234375,3.765625,3.859375,2.701003,14670000
2000-09-01,3.875000,4.203125,3.765625,4.171875,2.919708,12544800
2000-10-01,4.203125,4.343750,3.875000,4.203125,2.941578,11805200
2000-11-01,4.265625,4.750000,4.234375,4.687500,3.298161,14886800
2000-12-01,4.656250,4.875000,4.140625,4.656250,3.276174,15043600
2001-01-01,4.703125,4.887500,4.250000,4.822500,3.393148,16267600
2001-02-01,4.822500,5.437500,4.787500,5.375000,3.801601,19394000
2001-03-01,5.312500,5.390000,4.750000,4.870000,3.444428,16860000
2001-04-01,4.925000,5.225000,4.750000,5.155000,3.646001,11699600
2001-05-01,5.155000,5.912500,4.880000,5.897500,4.191120,15484000
2001-06-01,5.897500,6.252500,5.775000,6.085000,4.324368,15894400
2001-07-01,6.050000,6.400000,6.000000,6.325000,4.494927,15316000
2001-08-01,6.407500,6.692500,5.887500,6.367500,4.542282,19746400
2001-09-01,6.300000,6.500000,5.310000,5.905000,4.212355,14924000
2001-10-01,5.905000,6.035000,5.462500,6.000000,4.280124,12924000
2001-11-01,5.975000,6.550000,5.900000,6.260000,4.470197,12652000
2001-12-01,6.275000,6.837500,6.262500,6.717500,4.796894,17146000
2002-01-01,6.737500,6.787500,6.312500,6.497500,4.639791,11185200
2002-02-01,6.475000,6.857500,6.250000,6.842500,4.904287,11850800
2002-03-01,6.900000,7.050000,6.525000,6.837500,4.900706,15295600
2002-04-01,6.775000,7.022500,6.175000,6.175000,4.425865,22105200
2002-05-01,6.165000,6.375000,6.000000,6.102500,4.389842,24899200
2002-06-01,6.047500,6.175000,5.612500,5.985000,4.305319,22398000
2002-07-01,6.000000,6.122500,5.005000,5.907500,4.249568,22608800
2002-08-01,5.850000,5.925000,5.225000,5.707500,4.124393,27455600
2002-09-01,5.645000,5.675000,5.237500,5.470000,3.952768,19824800
2002-10-01,5.532500,6.242500,5.480000,6.050000,4.371892,18284800
2002-11-01,6.025000,6.100000,5.402500,5.587500,4.054060,22348400
2002-12-01,5.612500,5.837500,5.387500,5.832500,4.231823,16143600
2003-01-01,5.927500,6.000000,5.252500,5.627500,4.083084,15021600
2003-02-01,5.575000,5.775000,5.127500,5.252500,3.828274,17018800
2003-03-01,5.292500,5.402500,4.982500,5.292500,3.857427,17575600
2003-04-01,5.292500,5.752500,5.232500,5.752500,4.192697,15900400
2003-05-01,5.752500,5.925000,5.525000,5.875000,4.302183,18543200
2003-06-01,5.875000,6.262500,5.825000,5.925000,4.338799,15500400
2003-07-01,5.927500,6.212500,5.387500,5.445000,3.987302,24339600
2003-08-01,5.437500,5.497500,5.187500,5.400000,3.971894,32493200
2003-09-01,5.405000,5.860000,5.402500,5.745000,4.225651,23388000
2003-10-01,5.770000,6.207500,5.750000,6.172500,4.540094,22110400
2003-11-01,6.222500,6.872500,6.200000,6.702500,4.951536,26142800
2003-12-01,6.677500,6.872500,6.327500,6.452500,4.766848,23536000
2004-01-01,6.500000,6.750000,6.225000,6.742500,4.981088,21372400
2004-02-01,6.742500,7.240000,6.712500,6.930000,5.142197,20586800
2004-03-01,6.987500,7.337500,6.885000,7.332500,5.440859,20432400
2004-04-01,7.312500,7.875000,7.312500,7.622500,5.656044,15690400
2004-05-01,7.617500,7.837500,7.387500,7.812500,5.819169,18561200
2004-06-01,7.800000,7.970000,7.320000,7.775000,5.791237,22099200
2004-07-01,7.825000,7.857500,7.000000,7.420000,5.526813,19811600
